"name"	"p"	"q"
"ACTIN"	0.242489861607731	0.316196704493119
"B.ACT"	0.356103657264103	0.397391037816463
"BALF1"	0.063267150263565	0.108257123784322
"BALF2"	0.729429280084128	0.739027033769445
"BALF3"	0.244461461354137	0.316196704493119
"BALF4"	0.380646012298079	0.418710613527887
"BALF5"	0.337790016773973	0.388206437187999
"BaRF1"	0.0137789337576301	0.0531454302554316
"BBLF1"	0.309765039875799	0.3625192123053
"BBLF2"	0.230941665929468	0.316196704493119
"BBLF3"	0.104246451505632	0.157391701292817
"BBLF4"	0.115043663315604	0.170353116832721
"BBRF1"	0.0218209673511809	0.0628173087401883
"BBRF2"	0.0387711656835501	0.0839935812800965
"BBRF3"	0.00735712221211234	0.0514998554847864
"BCLF1"	0.00450856998790039	0.0384180398916058
"BCRF1_rep1"	0.000153148961726511	0.00694638134396247
"BCRF1_rep2"	0.200135175893494	0.280189246250892
"BDLF1.capsid"	0.00270577009496732	0.0384180398916058
"BDLF2.orf27"	0.000408893795492914	0.0078712055632386
"BDLF3"	0.00498935583007868	0.0384180398916058
"BDLF4"	0.308446374229263	0.3625192123053
"BDRF1_129215"	0.668502070416404	0.686328792294175
"BDRF1_148707"	0.00494498936587106	0.0384180398916058
"BFLF1"	0.0148220214559488	0.0531454302554316
"BFLF2"	0.0358201196398669	0.0811220356549927
"BFRF2"	0.269433917466481	0.336042075746643
"BFRF3"	0.06060102877213	0.106051800351227
"BGLF1"	0.54954545164915	0.579657531191569
"BGLF3"	0.406427945031811	0.440773968555626
"BGLF4"	0.00302286169386088	0.0384180398916058
"BGLF5"	0.0233974249646082	0.0643429186526725
"BGRF1"	0.632932477018203	0.658591901762184
"BHRF1"	0.310730753404543	0.3625192123053
"BILF1"	0.246387042462171	0.316196704493119
"BILF2"	0.0131022020142432	0.0531454302554316
"BKRF1"	0.354590304712372	0.397391037816463
"BKRF3"	0.0493644891787364	0.0927089187015293
"BKRF4"	0.0220148219519001	0.0628173087401883
"BLLF1b"	0.00957848077099461	0.0531454302554316
"BLLF2"	0.0157745292716697	0.0531454302554316
"BLLF3"	0.241188549559485	0.316196704493119
"BLRF1"	0.0214801200556572	0.0628173087401883
"BLRF2"	0.0131876332207504	0.0531454302554316
"BLRF3"	0.0987061214943462	0.152007427101293
"BMLF1.orf57"	0.134104742579947	0.191223429234369
"BMRF1"	0.0491027110208819	0.0927089187015293
"BMRF2"	0.0688610976269187	0.110712240586713
"BNLF2a"	0.0158746090373367	0.0531454302554316
"BNLF2b"	0.126022161299894	0.183088800379091
"BNRF1"	0.000270638234180356	0.00694638134396247
"BOLF1"	0.0156804057795078	0.0531454302554316
"BORF1"	0.0406385464527752	0.0845721101855051
"BORF2"	0.00457422952609087	0.0384180398916058
"BPLF1"	0.0576174719705372	0.10317547306352
"BRLF1"	0.0832967992473654	0.13089497024586
"BRRF1"	0.270579333718076	0.336042075746643
"BRRF2"	0.292335399696447	0.357298821851213
"BSLF1"	0.491686509659547	0.525831406163682
"BSLF2"	0.0103467951239125	0.0531454302554316
"BSRF1"	0.031401088711022	0.0732692069923847
"BTRF1"	0.0392697263127724	0.0839935812800965
"BVRF1"	0.0294237677385923	0.0730848424474712
"BVRF2"	0.0108195241944179	0.0531454302554316
"BWRF1_43261"	0.067637081090438	0.110712240586713
"BXLF1"	0.0115655014713049	0.0531454302554316
"BXLF2"	0.0261878204089425	0.0695331783271921
"BXRF1"	0.010085348122464	0.0531454302554316
"BYRF1"	0.0220268485192868	0.0628173087401883
"EBNA3C"	0.0519419960285827	0.0952269927190683
"exonEBNA"	0.0308917913368627	0.0732692069923847
"GAPDH"	0.77057029520776	0.77057029520776
"HPRT"	0.0277778044725818	0.07129636481296
"LMP.1"	0.0488405932223851	0.0927089187015293
"LMP.2A_166576"	0.0456440956394324	0.0924893516904288
"LMP.2A_503"	0.0690154227034057	0.110712240586713
"LMP.2A_59"	0.000198159280134076	0.00694638134396247
